State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
MI,Houghton,2628,10378,7750,18501,1995,35684,1517,7160,5498,7041,7.2,33.7,25.9,33.2
MI,Huron,7241,12731,5490,18437,1552,30981,2577,9773,7248,3588,11.1,42.2,31.3,15.5
MI,Ingham,-46573,47639,94212,144550,14480,292406,12738,37856,56717,67150,7.3,21.7,32.5,38.5
MI,Ionia,9756,20657,10901,32209,6031,64697,4280,17184,14908,6988,9.9,39.6,34.4,16.1
MI,Iosco,4386,9759,5373,15363,1105,25127,2167,7361,6795,3171,11.1,37.8,34.9,16.3
MI,Iron,1723,4216,2493,6789,852,11066,698,3832,2575,1647,8,43.8,29.4,18.8
MO,Iron,2651,3596,945,4592,461,11066,1411,3104,2032,803,19.2,42.2,27.6,10.9
UT,Iron,14097,18989,4892,24890,4570,11066,1997,6981,10656,8073,7.2,25.2,38.5,29.1
WI,Iron,905,2438,1533,4010,476,11066,291,1559,1844,925,6.3,33.8,39.9,20
MI,Isabella,743,14815,14072,29421,3436,69872,3205,12045,11859,11159,8.4,31.5,31,29.2
AL,Jackson,15953,19670,3717,23636,5302,158510,6526,15181,10238,5280,17.5,40.8,27.5,14.2
AR,Jackson,2228,3593,1365,5091,2388,158510,2600,5061,3408,1254,21.1,41.1,27.7,10.2
GA,Jackson,21860,29502,7642,37675,7406,158510,7216,14274,13437,9306,16.3,32.3,30.4,21
IN,Jackson,10253,14555,4302,19238,4394,158510,4002,12955,8199,4626,13.4,43.5,27.5,15.5
IA,Jackson,2911,6940,4029,11135,1993,158510,1046,5705,4313,2568,7.7,41.9,31.6,18.8
KS,Jackson,2583,4435,1852,6468,1151,158510,496,3522,3064,1921,5.5,39.1,34,21.3
MI,Jackson,15377,47372,31995,80861,13098,158510,10304,36202,39822,23483,9.4,33,36.3,21.4
MN,Jackson,2203,3948,1745,5819,817,158510,489,2435,2624,1564,6.9,34.2,36.9,22
MO,Jackson,-73307,126535,199842,333063,28474,158510,45492,133015,145567,144748,9.7,28.4,31,30.9
NC,Jackson,1765,11356,9591,21428,2275,158510,3141,7205,8407,8226,11.6,26.7,31.2,30.5
OR,Jackson,4391,63869,59478,127165,0,158510,15862,40186,54988,41866,10.4,26.3,36,27.4
SD,Jackson,379,738,359,1115,246,158510,324,623,538,384,17.3,33.3,28.8,20.5
TN,Jackson,2983,4118,1135,5323,847,158510,1846,4014,1942,772,21.5,46.8,22.6,9
TX,Jackson,4198,5231,1033,6340,1359,158510,1651,3243,3359,1587,16.8,33,34.1,16.1
WV,Jackson,6886,10093,3207,13508,1412,158510,2623,9076,5374,3533,12.7,44,26.1,17.1
WI,Jackson,1535,5791,4256,10184,2548,158510,1676,5781,4921,2089,11.6,40,34,14.4
MI,Kalamazoo,-26863,56823,83686,143414,12583,265066,10469,35872,54609,62075,6.4,22,33.5,38.1
MI,Kalkaska,4434,7436,3002,10631,520,18038,1672,5210,4211,1493,13.3,41.4,33.5,11.9
DE,Kent,-3543,41009,44552,87025,12254,656955,14930,38490,35280,27357,12.9,33.2,30.4,23.6
MD,Kent,-134,5195,5329,10794,1048,656955,1672,3982,3516,4759,12,28.6,25.2,34.2
MI,Kent,-22174,165741,187915,361048,46667,656955,41102,103202,129390,148413,9.7,24.4,30.7,35.2
TX,Kent,364,411,47,462,34,656955,104,182,139,131,18.7,32.7,25,23.6
MI,Keweenaw,190,862,672,1557,105,2116,66,550,550,510,3.9,32.8,32.8,30.4
CA,Lake,-1818,13123,14941,28800,2826,11853,6872,13951,18247,7324,14.8,30.1,39.3,15.8
IL,Lake,-80438,123594,204032,334156,52129,11853,43138,96532,111551,205787,9.4,21.1,24.4,45
IN,Lake,-33110,91760,124870,219956,46550,11853,39031,114444,101349,72259,11.9,35,31,22.1
MI,Lake,1658,3946,2288,6323,329,11853,1538,3848,2632,1019,17,42.6,29.1,11.3
MN,Lake,-254,3393,3647,7202,592,11853,323,2554,2811,2415,4,31.5,34.7,29.8
MT,Lake,2406,9322,6916,16626,1800,11853,1790,6056,6816,5708,8.8,29.7,33.5,28
OR,Lake,2678,3470,792,4363,0,11853,772,2089,2120,910,13.1,35.5,36,15.4
SD,Lake,1613,3681,2068,5873,999,11853,664,2978,2125,2824,7.7,34.7,24.7,32.9
TN,Lake,966,1492,526,2034,1471,11853,1498,2480,1092,591,26.5,43.8,19.3,10.4
MI,Lapeer,19115,35482,16367,52650,4548,87607,5765,22220,23124,11066,9.3,35.7,37.2,17.8
MI,Leelanau,-879,7916,8795,16900,704,21761,797,3623,5079,7111,4.8,21.8,30.6,42.8
MI,Lenawee,10623,31541,20918,53375,6964,98451,6278,25224,22343,14199,9.2,37.1,32.8,20.9
MI,Livingston,28762,76982,48220,127197,8816,191995,6040,34004,45464,45639,4.6,25.9,34.7,34.8
MO,Livingston,3857,5267,1410,6758,1275,191995,1501,4140,2989,2067,14,38.7,27.9,19.3
NY,Livingston,5705,18182,12477,31401,3031,191995,4403,14037,13414,10833,10.3,32.9,31.4,25.4
MI,Luce,1267,2109,842,3001,987,6229,575,1840,1588,779,12,38.5,33.2,16.3
MI,Mackinac,1672,4304,2632,7015,278,10799,810,2848,2833,1806,9.8,34.3,34.1,21.8
MI,Macomb,39911,263863,223952,494256,53429,873972,62977,180999,215523,149504,10.3,29.7,35.4,24.5
MI,Manistee,2214,8321,6107,14655,939,24558,1715,6583,6299,3651,9.4,36.1,34.5,20
MI,Marquette,-4179,16286,20465,37462,4258,66699,2081,14017,14342,14003,4.7,31.5,32.3,31.5
WI,Marquette,2480,5719,3239,9065,1270,66699,1310,4727,3679,1603,11.6,41.8,32.5,14.2
MI,Mason,3405,10207,6802,17254,1101,29144,1587,6975,7435,4830,7.6,33.5,35.7,23.2
TX,Mason,1534,1991,457,2474,212,29144,352,974,1055,595,11.8,32.7,35.5,20
WA,Mason,1441,18710,17269,37303,2096,29144,5775,14379,17539,8258,12.6,31.3,38.2,18
WV,Mason,5965,8491,2526,11203,1603,29144,2823,9057,5175,2412,14.5,46.5,26.6,12.4
MI,Mecosta,5892,13267,7375,21049,1780,43453,2828,9700,8405,5874,10.5,36.2,31.4,21.9
MI,Menominee,3801,8117,4316,12607,1592,22780,1306,7360,5663,2874,7.6,42.8,32.9,16.7
WI,Menominee,-1025,278,1303,1590,783,22780,233,1151,810,456,8.8,43.4,30.6,17.2
MI,Midland,7182,27675,20493,49088,4207,83156,3323,16881,18149,19789,5.7,29,31.2,34
TX,Midland,33295,45624,12329,58856,15687,83156,16562,26517,31353,28049,16.2,25.9,30.6,27.4
MI,Missaukee,4681,6648,1967,8755,551,15118,1164,4362,3493,1376,11.2,42,33.6,13.2
AL,Monroe,1692,6147,4455,10668,935,150500,2409,6805,3464,2078,16.3,46.1,23.5,14.1
AR,Monroe,398,1545,1147,2816,596,150500,1168,2199,1205,537,22.9,43,23.6,10.5
GA,Monroe,6672,11057,4385,15590,1628,150500,2858,6461,4724,5008,15,33.9,24.8,26.3
IN,Monroe,-17790,22071,39861,63151,9710,150500,6525,18205,20567,37962,7.8,21.9,24.7,45.6
IA,Monroe,1897,2975,1078,4088,838,150500,639,2173,1644,885,12,40.7,30.8,16.6
MI,Monroe,19735,52710,32975,87148,8264,150500,9209,37772,37731,20036,8.8,36.1,36,19.1
MO,Monroe,2541,3477,936,4483,580,150500,644,2957,1735,786,10.5,48.3,28.3,12.8
NY,Monroe,-80085,145661,225746,380983,48164,150500,49470,122362,146393,192281,9.7,24,28.7,37.7
PA,Monroe,-5334,38726,44060,83829,8434,150500,12284,40893,34046,28147,10.6,35.4,29.5,24.4
TN,Monroe,13019,16783,3764,20797,3975,150500,6822,13004,8401,4142,21.1,40.2,26,12.8
WV,Monroe,3723,5068,1345,6490,757,150500,1647,5210,1741,1377,16.5,52.2,17.5,13.8
WI,Monroe,5342,13775,8433,22611,4094,150500,2973,11445,10134,6112,9.7,37.3,33,19.9
MI,Montcalm,12112,21815,9703,32100,5249,63888,5300,17475,15315,5673,12.1,39.9,35,13
MI,Montmorency,2543,4171,1628,5859,294,9328,972,3176,2275,946,13.2,43.1,30.9,12.8
MI,Muskegon,-510,45133,45643,92444,12205,173566,10771,40566,43822,22425,9.2,34.5,37.3,19.1
MI,Newaygo,10984,18857,7873,27161,2530,48980,4423,13458,10244,5299,13.2,40.3,30.6,15.9
MI,Oakland,-108177,325971,434148,770351,61856,1257584,53868,164936,251606,407776,6.1,18.8,28.7,46.4
MI,Oceana,3948,8892,4944,14062,1744,26467,2546,6396,5727,3406,14.1,35.4,31.7,18.8
MI,Ogemaw,4778,8253,3475,11907,925,20997,2270,6108,5401,1891,14.5,39,34.5,12.1
MI,Ontonagon,967,2358,1391,3804,335,5720,364,2005,1695,861,7.4,40.7,34.4,17.5
IA,Osceola,2089,2690,601,3328,655,23460,468,1648,1387,772,10.9,38.5,32.4,18.1
