State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
AL,Autauga,12335,19838,7503,27770,4988,55869,4204,12119,10552,10291,11.3,32.6,28.4,27.7
AL,Baldwin,58966,83544,24578,109679,12948,223234,14310,40579,46025,46075,9.7,27.6,31.3,31.3
GA,Baldwin,-237,8903,9140,18251,3488,223234,4375,10205,7611,5869,15.6,36.4,27.1,20.9
AL,Barbour,806,5622,4816,10518,1104,24686,4901,6486,4566,2220,27,35.7,25.1,12.2
WV,Barbour,3659,5116,1457,6677,951,24686,1611,5206,2607,1881,14.3,46.1,23.1,16.6
AL,Bibb,5539,7525,1986,9595,1893,22394,2650,7471,3846,1813,16.8,47.3,24.4,11.5
GA,Bibb,-16849,26559,43408,70714,11767,22394,14227,31489,28431,25616,14.3,31.6,28.5,25.7
AL,Blount,22071,24711,2640,27588,4381,57826,7861,13489,13267,5010,19.8,34,33.5,12.6
TN,Blount,29437,47369,17932,66609,11124,57826,9996,31875,27833,22022,10.9,34.8,30.3,24
AL,Bullock,-2300,1146,3446,4613,976,10101,1760,2817,1582,945,24.8,39.7,22.3,13.3
AL,Butler,1493,5458,3965,9488,1679,19448,2141,6091,3421,2235,15.4,43.9,24.6,16.1
IA,Butler,3118,5542,2424,8098,1538,19448,760,3928,3893,1823,7.3,37.8,37.4,17.5
KS,Butler,13247,22250,9003,31946,5345,19448,3250,11557,16109,12644,7.5,26.5,37,29
KY,Butler,3881,4960,1079,6125,1189,19448,1970,3844,2049,1132,21.9,42.7,22.8,12.6
MO,Butler,11301,14602,3301,18141,3231,19448,5072,10505,9589,4040,17.4,36,32.8,13.8
PA,Butler,36851,74359,37508,113305,8314,19448,7163,43787,34339,46776,5.4,33.2,26,35.4
AL,Calhoun,19885,35101,15216,50983,9021,113605,12620,25653,26643,14219,15.9,32.4,33.7,18
AR,Calhoun,1157,1636,479,2182,268,113605,649,1636,1013,452,17.3,43.6,27,12.1
GA,Calhoun,-340,923,1263,2198,426,113605,1217,1863,1218,446,25.7,39.3,25.7,9.4
IA,Calhoun,2219,3689,1470,5258,1251,113605,418,2557,2677,1371,6,36.4,38.1,19.5
MI,Calhoun,7344,36221,28877,66281,7838,113605,8123,33106,30526,19318,8.9,36.4,33.5,21.2
SC,Calhoun,400,4305,3905,8291,1065,113605,1532,3978,3131,2047,14.3,37.2,29.3,19.2
TX,Calhoun,3493,5641,2148,7856,1424,113605,2788,4819,4699,2169,19.3,33.3,32.5,15
WV,Calhoun,1796,2364,568,2971,192,113605,1053,2655,1164,605,19.2,48.5,21.3,11
AL,Chambers,2388,8753,6365,15284,1609,33254,4383,9060,7003,3118,18.6,38.4,29.7,13.2
TX,Chambers,13356,17353,3997,21652,3721,33254,3250,7445,9378,5489,12.7,29.1,36.7,21.5
AL,Cherokee,8959,10583,1624,12301,1115,26196,3692,7157,5417,2407,19.8,38.3,29,12.9
GA,Cherokee,56806,99585,42779,144815,18074,26196,13931,36896,51003,59717,8.6,22.8,31.6,37
IA,Cherokee,2559,4495,1936,6518,1409,26196,615,2968,2907,1766,7.4,35.9,35.2,21.4
KS,Cherokee,4459,6622,2163,8945,1656,26196,1535,4674,5071,2661,11,33.5,36.4,19.1
NC,Cherokee,9045,12628,3583,16423,1688,26196,2912,7354,6879,4086,13.7,34.6,32.4,19.2
SC,Cherokee,11060,18043,6983,25270,4386,26196,7755,13944,11097,5270,20.4,36.6,29.2,13.8
TX,Cherokee,10891,15101,4210,19508,2157,26196,6989,10640,10483,5708,20.7,31.5,31,16.9
AL,Chilton,13012,16085,3073,19310,3016,44428,5302,13125,7147,4219,17.8,44.1,24,14.2
AL,Choctaw,1169,4296,3127,7464,476,12589,1754,3606,2851,1225,18.6,38.2,30.2,13
AL,Clarke,1569,7324,5755,13135,2268,23622,3175,7372,4205,2118,18.8,43.7,24.9,12.6
GA,Clarke,-21605,14450,36055,51346,11162,23622,8950,14668,16220,29655,12.9,21.1,23.3,42.7
IA,Clarke,1678,3144,1466,4670,855,23622,684,2601,1939,1063,10.9,41.4,30.8,16.9
AL,Clay,4334,5601,1267,6930,1073,13235,2275,3366,2700,944,24.5,36.3,29.1,10.2
AR,Clay,3124,4086,962,5183,1201,13235,2047,4363,2944,1228,19.3,41.2,27.8,11.6
GA,Clay,-154,637,791,1435,171,13235,443,927,647,173,20.2,42.3,29.5,7.9
IN,Clay,6947,9499,2552,12267,2293,13235,1520,8082,5530,3061,8.4,44.4,30.4,16.8
IA,Clay,3475,6137,2662,8969,1761,13235,745,3906,4210,2584,6.5,34.1,36.8,22.6
KS,Clay,2246,3129,883,4134,787,13235,397,1688,2044,1542,7,29.8,36,27.2
MN,Clay,-1314,15043,16357,32239,6543,13235,1950,9675,13699,12747,5.1,25.4,36,33.5
MO,Clay,5205,64605,59400,126569,7502,13235,11012,46437,50816,52696,6.8,28.8,31.6,32.7
NC,Clay,3413,5112,1699,6893,536,13235,958,2834,2616,1890,11.5,34.2,31.5,22.8
SD,Clay,-627,2456,3083,5698,1601,13235,286,1510,1793,3372,4.1,21.7,25.8,48.4
TN,Clay,1998,2733,735,3506,673,13235,1084,2579,1114,818,19.4,46.1,19.9,14.6
TX,Clay,4455,5069,614,5741,874,13235,703,2958,2440,1393,9.4,39.5,32.6,18.6
WV,Clay,2038,2679,641,3365,311,13235,1503,3302,785,586,24.3,53.5,12.7,9.5
AL,Cleburne,5809,6484,675,7227,1163,14910,2364,4135,2518,1428,22.6,39.6,24.1,13.7
AR,Cleburne,8340,10328,1988,12680,1268,14910,2865,7630,5464,2796,15.3,40.7,29.1,14.9
AL,Coffee,11823,16899,5076,22275,3283,52342,4833,9723,12181,8175,13.8,27.9,34.9,23.4
GA,Coffee,6067,10578,4511,15214,3982,52342,6311,10771,7142,3683,22.6,38.6,25.6,13.2
TN,Coffee,12178,17883,5705,24282,4304,52342,5095,14366,10368,7266,13.7,38.7,27.9,19.6
AL,Colbert,10860,19203,8343,27886,4102,55241,6016,13927,11459,7236,15.6,36,29.7,18.7
AL,Conecuh,476,3442,2966,6441,775,12067,1703,4315,1881,949,19.2,48.8,21.3,10.7
AL,Coosa,1835,3631,1796,5479,415,10663,1675,3178,2424,953,20.4,38.6,29.5,11.6
AL,Covington,11865,14586,2721,17430,1832,37049,4530,9368,8588,3952,17.1,35.4,32.5,14.9
AL,Crenshaw,3164,4864,1700,6617,965,13772,2091,3753,2326,1505,21.6,38.8,24,15.6
AL,Cullman,32402,36880,4478,41851,5852,83768,10405,20382,18559,7866,18.2,35.6,32.4,13.7
AL,Dale,9133,14303,5170,19738,2842,49172,4732,10924,12036,5690,14.2,32.7,36.1,17
AL,Dallas,-6706,5524,12230,17864,2402,37196,5135,9368,8076,4021,19.3,35.2,30.4,15.1
AR,Dallas,610,1573,963,2649,593,37196,862,2284,1401,721,16.4,43.4,26.6,13.7
IA,Dallas,1108,27987,26879,56022,9375,37196,2562,9851,15319,27049,4.7,18,28,49.4
MO,Dallas,5239,6619,1380,8104,793,37196,2046,4785,3122,1406,18,42.1,27.5,12.4
TX,Dallas,-291500,307076,598576,921638,229090,37196,351441,372587,418128,506554,21.3,22.6,25.4,30.7
AL,DeKalb,20486,24767,4281,29356,7066,71513,12394,15956,13441,6085,25.9,33.3,28.1,12.7
GA,DeKalb,-249785,58377,308162,370746,47091,71513,55530,104713,124874,218302,11,20.8,24.8,43.4
IL,DeKalb,-2738,21905,24643,47989,7998,71513,4672,15626,21811,19254,7.6,25.5,35.5,31.4
IN,DeKalb,9271,14237,4966,19628,3596,71513,2800,12002,8821,5082,9.8,41.8,30.7,17.7
MO,DeKalb,2898,3828,930,4843,902,71513,1212,4279,2492,1442,12.9,45.4,26.4,15.3
TN,DeKalb,4922,6672,1750,8513,1926,71513,2799,5894,3078,2187,20.1,42.2,22.1,15.7
AL,Elmore,19797,30164,10367,41030,6494,81209,7594,18304,16197,13664,13.6,32.8,29,24.5
ID,Elmore,4645,7246,2601,10205,1175,81209,1738,4582,7346,2690,10.6,28,44.9,16.4
AL,Escambia,5951,10869,4918,15910,2141,36633,4792,11546,6340,3287,18.5,44.5,24.4,12.7
AL,Etowah,23961,35528,11567,47728,9857,102268,11147,23665,24416,12767,15.5,32.9,33.9,17.7
AL,Fayette,5905,7300,1395,8766,1529,16302,2060,4868,3273,1516,17.6,41.5,27.9,12.9
GA,Fayette,4894,37956,33062,71994,5180,16302,3926,15659,20775,35115,5.2,20.7,27.5,46.5
IN,Fayette,5518,7755,2237,10136,2562,16302,2837,6985,4546,1894,17.4,43,28,11.6
IA,Fayette,2310,6145,3835,10186,1697,16302,1096,5375,4619,2740,7.9,38.9,33.4,19.8
KY,Fayette,-31740,58860,90600,152912,29549,16302,18841,41328,57520,88572,9.1,20,27.9,42.9
PA,Fayette,20783,41227,20444,62139,6936,16302,11063,47524,22429,15674,11.4,49.2,23.2,16.2
TN,Fayette,8663,15690,7027,22984,3749,16302,3869,9560,9225,6269,13.4,33.1,31.9,21.7
TX,Fayette,7510,10171,2661,12941,1286,16302,2846,7265,4653,3262,15.8,40.3,25.8,18.1
WV,Fayette,6517,11580,5063,16862,2067,16302,5633,13673,7696,4826,17.7,43,24.2,15.2
AL,Franklin,8290,10376,2086,12578,3227,31362,4835,7666,5632,2679,23.2,36.8,27.1,12.9
AR,Franklin,4377,5677,1300,7129,1135,31362,2106,4844,3701,1423,17.4,40.1,30.7,11.8
GA,Franklin,7476,9069,1593,10765,2118,31362,3072,6169,4047,2077,20,40.1,26.3,13.5
ID,Franklin,5188,5845,657,6664,810,31362,694,2869,2909,1427,8.8,36.3,36.8,18.1
IN,Franklin,7554,9691,2137,12000,1538,31362,1845,6674,3986,3083,11.8,42.8,25.6,19.8
IA,Franklin,1796,3422,1626,5130,1057,31362,672,2566,2629,1264,9.4,36,36.9,17.7
KS,Franklin,4703,8326,3623,12247,2248,31362,1261,6615,5812,3315,7.4,38.9,34.2,19.5
ME,Franklin,685,8754,8069,17390,628,31362,1584,8013,6475,5474,7.4,37.2,30.1,25.4
MA,Franklin,-18829,11201,30030,42458,1787,31362,3670,14911,14843,19786,6.9,28,27.9,37.2
MO,Franklin,23489,38058,14569,53685,8052,31362,8476,23225,24949,14241,12,32.8,35.2,20.1
NY,Franklin,415,9668,9253,19268,1571,31362,4702,13421,10631,6934,13.2,37.6,29.8,19.4
NC,Franklin,5022,20901,15879,37351,4546,31362,7114,13198,14976,9526,15.9,29.5,33.4,21.3
PA,Franklin,34823,57245,22422,80783,10040,31362,13451,45685,25413,22455,12.6,42.7,23.7,21
TN,Franklin,9123,13987,4864,19132,3706,31362,3616,11350,7516,5876,12.8,40,26.5,20.7
TX,Franklin,3357,4161,804,5009,432,31362,820,2175,2550,1715,11.3,30,35.1,23.6
WA,Franklin,4699,18039,13340,32404,10287,31362,13130,13527,16428,9026,25.2,26,31.5,17.3
AL,Geneva,9253,10848,1595,12545,1422,26271,3891,6924,5720,2063,20.9,37.2,30.8,11.1
AL,Greene,-3009,875,3884,4775,679,8111,1406,2149,1689,589,24.1,36.8,29,10.1
AR,Greene,9612,12670,3058,16100,4409,8111,3767,13130,8074,4734,12.7,44.2,27.2,15.9
GA,Greene,2979,7066,4087,11244,1292,8111,2133,4259,2998,3273,16.8,33.6,23.7,25.8
IN,Greene,7714,11103,3389,14784,2485,8111,2803,9505,7123,3369,12.3,41.7,31.2,14.8
IA,Greene,1454,3223,1769,5057,705,8111,399,2486,2136,1265,6.3,39.5,34,20.1
MO,Greene,28562,83630,55068,141800,26127,8111,15773,52936,62556,56756,8.4,28.2,33.3,30.2
NY,Greene,3925,14271,10346,25194,2369,8111,4523,13526,9555,7823,12.8,38.2,27,22.1
NC,Greene,1042,4874,3832,8753,1735,8111,3870,4861,4640,1571,25.9,32.5,31.1,10.5
PA,Greene,7668,12579,4911,17669,1790,8111,3317,12222,6014,4810,12.6,46.4,22.8,18.2
TN,Greene,17060,22259,5199,28087,5504,8111,8117,20945,12752,7564,16.4,42.4,25.8,15.3
AL,Hale,-1497,3190,4687,7922,1507,14651,1647,4292,2711,1421,16.4,42.6,26.9,14.1
TX,Hale,4898,7177,2279,9584,5874,14651,4976,7081,5382,3454,23.8,33.9,25.8,16.5
AL,Henry,4001,6607,2606,9298,961,17205,2412,4081,3487,2187,19.8,33.5,28.7,18
GA,Henry,-25184,48259,73443,122998,15500,17205,13591,44282,44080,40226,9.6,31.1,31,28.3
IN,Henry,9499,15043,5544,21030,5216,17205,3582,15107,10012,5726,10.4,43.9,29.1,16.6
IA,Henry,3232,6507,3275,9982,2719,17205,967,5149,4815,2744,7.1,37.7,35.2,20.1
MO,Henry,5408,8027,2619,10788,1657,17205,1876,6578,4646,2395,12.1,42.5,30,15.5
TN,Henry,7691,11239,3548,15047,2237,17205,3272,11010,5078,3986,14,47.2,21.8,17.1
AL,Houston,19701,32618,12917,46173,5050,105882,10261,22680,23681,15076,14.3,31.6,33,21
GA,Houston,9301,41540,32239,74838,8748,105882,9032,26902,35988,26999,9.1,27.2,36.4,27.3
MN,Houston,1481,6334,4853,11440,1405,105882,716,4462,4925,3188,5.4,33.6,37.1,24
TN,Houston,1847,2718,871,3686,738,105882,1336,2651,1156,609,23.2,46.1,20.1,10.6
TX,Houston,4746,7060,2314,9437,812,105882,3295,6157,4880,2360,19.7,36.9,29.2,14.1
AL,Jackson,15953,19670,3717,23636,5302,51626,6526,15181,10238,5280,17.5,40.8,27.5,14.2
AR,Jackson,2228,3593,1365,5091,2388,51626,2600,5061,3408,1254,21.1,41.1,27.7,10.2
GA,Jackson,21860,29502,7642,37675,7406,51626,7216,14274,13437,9306,16.3,32.3,30.4,21
IN,Jackson,10253,14555,4302,19238,4394,51626,4002,12955,8199,4626,13.4,43.5,27.5,15.5
IA,Jackson,2911,6940,4029,11135,1993,51626,1046,5705,4313,2568,7.7,41.9,31.6,18.8
KS,Jackson,2583,4435,1852,6468,1151,51626,496,3522,3064,1921,5.5,39.1,34,21.3
MI,Jackson,15377,47372,31995,80861,13098,51626,10304,36202,39822,23483,9.4,33,36.3,21.4
MN,Jackson,2203,3948,1745,5819,817,51626,489,2435,2624,1564,6.9,34.2,36.9,22
MO,Jackson,-73307,126535,199842,333063,28474,51626,45492,133015,145567,144748,9.7,28.4,31,30.9
NC,Jackson,1765,11356,9591,21428,2275,51626,3141,7205,8407,8226,11.6,26.7,31.2,30.5
OR,Jackson,4391,63869,59478,127165,0,51626,15862,40186,54988,41866,10.4,26.3,36,27.4
SD,Jackson,379,738,359,1115,246,51626,324,623,538,384,17.3,33.3,28.8,20.5
TN,Jackson,2983,4118,1135,5323,847,51626,1846,4014,1942,772,21.5,46.8,22.6,9
TX,Jackson,4198,5231,1033,6340,1359,51626,1651,3243,3359,1587,16.8,33,34.1,16.1
WV,Jackson,6886,10093,3207,13508,1412,51626,2623,9076,5374,3533,12.7,44,26.1,17.1
WI,Jackson,1535,5791,4256,10184,2548,51626,1676,5781,4921,2089,11.6,40,34,14.4
AL,Jefferson,-42845,138843,181688,325848,60544,658573,46025,120037,137208,145462,10.3,26.8,30.6,32.4
AR,Jefferson,-5460,9521,14981,25158,6307,658573,6620,18270,14074,8432,14,38.5,29.7,17.8
GA,Jefferson,-521,3537,4058,7639,1439,658573,2657,4399,2429,1175,24.9,41.3,22.8,11
ID,Jefferson,10438,12099,1661,14173,1685,658573,1749,4440,6220,3616,10.9,27.7,38.8,22.6
IN,Jefferson,4932,9663,4731,14697,2754,658573,2189,9370,6615,3972,9.9,42.3,29.9,17.9
IA,Jefferson,124,4443,4319,8959,1238,658573,935,3540,4263,4030,7.3,27.7,33.4,31.6
KS,Jefferson,3087,6193,3106,9581,59,658573,858,5350,4121,2899,6.5,40.4,31.2,21.9
KY,Jefferson,-77712,150646,228358,386629,67838,658573,52841,141834,160800,172885,10,26.8,30.4,32.7
MO,Jefferson,39523,77046,37523,116688,20665,658573,17126,48743,56558,30916,11.2,31.8,36.9,20.2
MT,Jefferson,2720,5345,2625,8191,947,658573,441,2435,2764,2909,5.2,28.5,32.3,34
NY,Jefferson,8322,25629,17307,43848,3978,658573,6457,24590,25207,16115,8.9,34,34.8,22.3
OR,Jefferson,2796,7189,4393,11913,0,658573,2215,4680,6010,2911,14,29.6,38,18.4
PA,Jefferson,13433,17960,4527,22824,1575,658573,3239,15712,7260,5136,10.3,50.1,23.2,16.4
TN,Jefferson,13997,18651,4654,23616,3706,658573,5827,14575,10925,6159,15.5,38.9,29.1,16.4
TX,Jefferson,1497,47570,46073,94739,16928,658573,27058,55151,53962,33160,16,32.6,31.9,19.6
WA,Jefferson,-10273,6931,17204,24792,306,658573,1353,5329,8162,10679,5.3,20.9,32,41.8
WV,Jefferson,2906,15033,12127,27703,2882,658573,4128,12401,10170,11911,10.7,32.1,26.3,30.8
WI,Jefferson,7304,27208,19904,47979,7587,658573,4931,19603,19119,14417,8.5,33.8,32.9,24.8
AL,Lamar,5196,6174,978,7193,1010,13805,1741,3950,2967,1235,17.6,39.9,30,12.5
GA,Lamar,3711,6331,2620,9045,1149,13805,1577,4762,3497,2035,13.3,40.1,29.5,17.1
TX,Lamar,12302,16760,4458,21418,2438,13805,5201,11329,11230,5916,15.4,33.6,33.3,17.6
AL,Lauderdale,19806,31721,11915,44339,5355,92729,7979,22812,17453,15185,12.6,36,27.5,23.9
TN,Lauderdale,2481,5674,3193,8965,2389,92729,4127,7989,4246,1570,23,44.6,23.7,8.8
AL,Lawrence,8760,12322,3562,16031,2169,32924,4919,9710,6028,2738,21,41.5,25.8,11.7
AR,Lawrence,3489,4569,1080,5857,1576,32924,1636,4551,3393,1696,14.5,40.4,30.1,15
IN,Lawrence,10640,15601,4961,21025,4020,32924,3688,13939,9519,4996,11.5,43.4,29.6,15.5
MO,Lawrence,11212,14426,3214,17905,2646,32924,4277,9441,7879,3902,16.8,37,30.9,15.3
PA,Lawrence,13619,29597,15978,46076,4211,32924,6132,27175,15886,13379,9.8,43.4,25.4,21.4
SD,Lawrence,4216,8753,4537,13828,2491,32924,1118,5239,5064,6067,6.4,30,29,34.7
TN,Lawrence,12139,15334,3195,18718,4232,32924,5045,12953,7286,3604,17.5,44.8,25.2,12.5
AL,Lee,14361,42221,27860,71449,7859,164542,9049,22855,30707,32377,9.5,24.1,32.3,34.1
AR,Lee,-137,1286,1423,2848,1496,164542,1831,2770,1578,607,27,40.8,23.3,8.9
GA,Lee,7449,12007,4558,16714,1456,164542,1824,5945,6618,4939,9.4,30.8,34.2,25.6
IA,Lee,3232,9773,6541,16734,3376,164542,1913,10007,8682,3829,7.8,41,35.5,15.7
NC,Lee,4326,16469,12143,29008,4327,164542,6663,10936,14225,8421,16.6,27.2,35.3,20.9
SC,Lee,-2321,3008,5329,8431,1460,164542,2591,5124,2952,1502,21.3,42.1,24.3,12.3
TX,Lee,4505,6255,1750,8086,818,164542,1865,4253,3618,1836,16.1,36.8,31.3,15.9
AL,Limestone,20968,34640,13672,49235,7493,98915,10123,19463,18341,16367,15.7,30.3,28.5,25.5
TX,Limestone,4576,6789,2213,9095,1859,98915,3040,5611,5188,2260,18.9,34.9,32.2,14
AL,Lowndes,-3136,1836,4972,6835,1143,9726,1588,2722,1750,996,22.5,38.6,24.8,14.1
GA,Lowndes,5576,25692,20116,46355,6911,9726,10001,20161,19905,17185,14.9,30,29.6,25.6
AL,Macon,-5567,1541,7108,8723,1017,18068,2215,3658,3752,2510,18.3,30.1,30.9,20.7
GA,Macon,-1075,1783,2858,4663,525,18068,2604,3259,2874,820,27.2,34.1,30.1,8.6
MO,Macon,4414,6076,1662,7836,1167,18068,1302,4673,2898,1649,12.4,44.4,27.5,15.7
NC,Macon,7981,14211,6230,20743,2097,18068,2938,7914,8768,6252,11.4,30.6,33.9,24.2
TN,Macon,6789,8096,1307,9487,2441,18068,3348,7306,3581,1586,21.2,46.2,22.6,10
AL,Madison,15494,102780,87286,194767,26231,372909,21617,50768,69750,101650,8.9,20.8,28.6,41.7
AR,Madison,4095,5658,1563,7351,1034,372909,2242,5037,2382,1375,20.3,45.6,21.6,12.5
GA,Madison,7915,11326,3411,14937,2356,372909,3323,7534,5406,3582,16.7,38,27.2,18
ID,Madison,10893,13559,2666,17112,5143,372909,666,2559,7145,5923,4.1,15.7,43.9,36.4
IL,Madison,18195,76031,57836,137558,25785,372909,14564,56749,65830,47775,7.9,30.7,35.6,25.8
IN,Madison,11691,31215,19524,51793,11309,372909,10755,35132,27988,16174,11.9,39,31.1,18
IA,Madison,3373,6507,3134,9824,1303,372909,554,3868,3776,2569,5.1,35.9,35.1,23.9
MO,Madison,3565,4584,1019,5676,1331,372909,1528,2950,2789,1297,17.8,34.4,32.6,15.1
MT,Madison,2420,4191,1771,6113,638,372909,302,2185,2118,1868,4.7,33.8,32.7,28.9
NE,Madison,8462,11940,3478,15819,4259,372909,2260,7034,8494,5147,9.9,30.7,37,22.4
NY,Madison,3601,18408,14807,34038,3497,372909,4215,16311,14469,12911,8.8,34,30.2,27
NC,Madison,3078,7979,4901,13076,1057,372909,2229,4678,4136,4213,14.6,30.7,27.1,27.6
TN,Madison,5553,23943,18390,42950,5408,372909,7603,22363,18114,16810,11.7,34.5,27.9,25.9
TX,Madison,3081,4169,1088,5297,1614,372909,1939,3754,2675,1321,20,38.7,27.6,13.6
AL,Marengo,-145,5343,5488,10900,1969,18863,2192,5378,3869,2084,16.2,39.8,28.6,15.4
AL,Marion,10742,12205,1463,13807,2109,29709,4343,7435,6770,2806,20.3,34.8,31.7,13.1
AR,Marion,4252,5783,1531,7503,590,29709,1636,4583,4091,2148,13.1,36.8,32.8,17.2
GA,Marion,963,2275,1312,3625,343,29709,1412,2331,1579,803,23.1,38.1,25.8,13.1
IN,Marion,-113597,134175,247772,389619,86656,29709,88886,173635,169794,188718,14.3,28,27.3,30.4
IA,Marion,6485,12663,6178,19232,3196,29709,1431,7665,6814,5702,6.6,35.5,31.5,26.4
KS,Marion,2914,4377,1463,5969,942,29709,754,2549,2884,2068,9.1,30.9,34.9,25.1
MO,Marion,6713,9915,3202,13348,2586,29709,2225,7348,5664,4023,11.6,38.2,29.4,20.9
OR,Marion,-1870,79002,80872,165534,0,29709,32419,60875,76493,50130,14.7,27.7,34.8,22.8
SC,Marion,-3161,5711,8872,14704,2670,29709,4168,8466,5934,3131,19.2,39,27.3,14.4
TN,Marion,6734,9911,3177,13256,2125,29709,3842,8008,6088,2355,18.9,39.5,30,11.6
TX,Marion,2131,3470,1339,4864,308,29709,1250,3083,2114,1126,16.5,40.7,27.9,14.9
WV,Marion,7399,16300,8901,25794,2505,29709,4158,15601,9969,9079,10.7,40.2,25.7,23.4
AL,Marshall,27248,33191,5943,39655,9379,96774,12151,19818,19442,12233,19.1,31.1,30.5,19.2
IN,Marshall,8132,13844,5712,19927,5185,96774,4678,12010,7781,6293,15.2,39,25.3,20.5
IA,Marshall,1395,9571,8176,18136,4397,96774,4362,9093,8156,5065,16.4,34.1,30.6,19
KS,Marshall,2423,3662,1239,5023,1020,96774,505,2981,2125,1282,7.3,43.2,30.8,18.6
MN,Marshall,2426,3721,1295,5113,691,96774,752,2411,2154,1251,11.4,36.7,32.8,19
SD,Marshall,429,1287,858,2178,268,96774,256,1060,1168,786,7.8,32.4,35.7,24
TN,Marshall,7438,11043,3605,14878,3042,96774,3363,9354,6262,3179,15.2,42.2,28.3,14.3
WV,Marshall,6980,10435,3455,14080,2118,96774,2088,9969,6762,4273,9,43.2,29.3,18.5
AL,Mobile,21769,101243,79474,183164,24994,413210,38247,92986,82763,63703,13.8,33.5,29.8,22.9
AL,Monroe,1692,6147,4455,10668,935,20733,2409,6805,3464,2078,16.3,46.1,23.5,14.1
AR,Monroe,398,1545,1147,2816,596,20733,1168,2199,1205,537,22.9,43,23.6,10.5
GA,Monroe,6672,11057,4385,15590,1628,20733,2858,6461,4724,5008,15,33.9,24.8,26.3
IN,Monroe,-17790,22071,39861,63151,9710,20733,6525,18205,20567,37962,7.8,21.9,24.7,45.6
IA,Monroe,1897,2975,1078,4088,838,20733,639,2173,1644,885,12,40.7,30.8,16.6
MI,Monroe,19735,52710,32975,87148,8264,20733,9209,37772,37731,20036,8.8,36.1,36,19.1
MO,Monroe,2541,3477,936,4483,580,20733,644,2957,1735,786,10.5,48.3,28.3,12.8
NY,Monroe,-80085,145661,225746,380983,48164,20733,49470,122362,146393,192281,9.7,24,28.7,37.7
PA,Monroe,-5334,38726,44060,83829,8434,20733,12284,40893,34046,28147,10.6,35.4,29.5,24.4
TN,Monroe,13019,16783,3764,20797,3975,20733,6822,13004,8401,4142,21.1,40.2,26,12.8
WV,Monroe,3723,5068,1345,6490,757,20733,1647,5210,1741,1377,16.5,52.2,17.5,13.8
WI,Monroe,5342,13775,8433,22611,4094,20733,2973,11445,10134,6112,9.7,37.3,33,19.9
AL,Montgomery,-31218,33311,64529,99139,19076,226486,21646,38289,41976,48131,14.4,25.5,28,32.1
AR,Montgomery,2315,3046,731,3873,481,226486,1461,2450,2075,722,21.8,36.5,30.9,10.8
GA,Montgomery,1980,2960,980,3967,665,226486,1093,2330,1703,842,18.3,39,28.5,14.1
IN,Montgomery,8446,12659,4213,17198,3598,226486,2718,10707,7793,4687,10.5,41.3,30.1,18.1
IA,Montgomery,2076,3659,1583,5327,922,226486,700,2621,2505,1232,9.9,37.1,35.5,17.5
KS,Montgomery,6621,9768,3147,13177,703,226486,2502,6455,9201,4051,11.3,29.1,41.4,18.2
MD,Montgomery,-318347,101222,419569,533743,59155,226486,62517,94875,135383,421720,8.7,13.3,18.9,59
MO,Montgomery,3257,4465,1208,5772,550,226486,1294,3656,2098,1121,15.8,44.8,25.7,13.7
NY,Montgomery,4768,12745,7977,21134,2698,226486,4852,12028,11357,5976,14.2,35.2,33.2,17.5
NC,Montgomery,4084,8411,4327,12849,2470,226486,3933,6628,5637,2795,20.7,34.9,29.7,14.7
PA,Montgomery,-134051,185460,319511,510157,44145,226486,33289,137292,124775,280456,5.8,23.8,21.7,48.7
TN,Montgomery,9715,42187,32472,76758,11861,226486,9090,35180,43848,32983,7.5,29.1,36.2,27.2
TX,Montgomery,119005,193382,74377,271451,32894,226486,45597,80427,109691,125054,12.6,22.3,30.4,34.7
AL,Morgan,26430,39664,13234,53722,10922,119679,13706,24350,26356,17849,16.7,29.6,32,21.7
GA,Morgan,4878,8231,3353,11706,1030,119679,1691,4357,3877,2613,13.5,34.8,30.9,20.8
IL,Morgan,4874,9950,5076,15333,3409,119679,1991,9760,7468,4782,8.3,40.7,31.1,19.9
IN,Morgan,19731,27512,7781,36159,5688,119679,5912,19156,14730,8089,12.3,40,30.8,16.9
MO,Morgan,5518,7442,1924,9487,1594,119679,2945,5701,3753,1831,20.7,40.1,26.4,12.9
TN,Morgan,5763,6930,1167,8228,1557,119679,2930,7878,3698,1145,18.7,50.3,23.6,7.3
WV,Morgan,4539,6537,1998,8695,700,119679,1861,5237,3760,2269,14.2,39.9,28.6,17.3
AL,Perry,-2521,1339,3860,5230,883,8923,1275,2293,1334,913,21.9,39.4,22.9,15.7
AR,Perry,2467,3479,1012,4627,544,8923,1202,2938,2226,858,16.6,40.7,30.8,11.9
IN,Perry,2142,5345,3203,8722,1646,8923,1434,6388,3732,2028,10.6,47,27.5,14.9
MO,Perry,5993,7657,1664,9447,1994,8923,1631,5840,3507,2088,12.5,44.7,26.8,16
PA,Perry,12343,18293,5950,24652,2143,8923,4056,15123,8009,5350,12.5,46.5,24.6,16.4
